Payment Charge Table (NGN)
Assumption: Paytech 20% is added first; Paystack 1.5% is then applied on (Base + Paytech charge).

Base       Paytech(20%)    Subtotal        Paystack(1.5%)    Final Total 
13500.00   2700.00         16200.00        243.00            16443.00    
13600.00   2720.00         16320.00        244.80            16564.80    
13700.00   2740.00         16440.00        246.60            16686.60    
13800.00   2760.00         16560.00        248.40            16808.40    
13900.00   2780.00         16680.00        250.20            16930.20    
14000.00   2800.00         16800.00        252.00            17052.00    
14100.00   2820.00         16920.00        253.80            17173.80    
14200.00   2840.00         17040.00        255.60            17295.60    
14300.00   2860.00         17160.00        257.40            17417.40    
14400.00   2880.00         17280.00        259.20            17539.20    
14500.00   2900.00         17400.00        261.00            17661.00    
14600.00   2920.00         17520.00        262.80            17782.80    
14700.00   2940.00         17640.00        264.60            17904.60    
14800.00   2960.00         17760.00        266.40            18026.40    
14900.00   2980.00         17880.00        268.20            18148.20    
15000.00   3000.00         18000.00        270.00            18270.00    
15100.00   3020.00         18120.00        271.80            18391.80    
15200.00   3040.00         18240.00        273.60            18513.60    
15300.00   3060.00         18360.00        275.40            18635.40    
15400.00   3080.00         18480.00        277.20            18757.20    
15500.00   3100.00         18600.00        279.00            18879.00    
15600.00   3120.00         18720.00        280.80            19000.80    
15700.00   3140.00         18840.00        282.60            19122.60    
15800.00   3160.00         18960.00        284.40            19244.40    
15900.00   3180.00         19080.00        286.20            19366.20    
16000.00   3200.00         19200.00        288.00            19488.00    
16100.00   3220.00         19320.00        289.80            19609.80    
16200.00   3240.00         19440.00        291.60            19731.60    
16300.00   3260.00         19560.00        293.40            19853.40    
16400.00   3280.00         19680.00        295.20            19975.20    
16500.00   3300.00         19800.00        297.00            20097.00    
16600.00   3320.00         19920.00        298.80            20218.80    
16700.00   3340.00         20040.00        300.60            20340.60    
16800.00   3360.00         20160.00        302.40            20462.40    
16900.00   3380.00         20280.00        304.20            20584.20    
17000.00   3400.00         20400.00        306.00            20706.00    
17100.00   3420.00         20520.00        307.80            20827.80    
17200.00   3440.00         20640.00        309.60            20949.60    
17300.00   3460.00         20760.00        311.40            21071.40    
17400.00   3480.00         20880.00        313.20            21193.20    
17500.00   3500.00         21000.00        315.00            21315.00    
17600.00   3520.00         21120.00        316.80            21436.80    
17700.00   3540.00         21240.00        318.60            21558.60    
17800.00   3560.00         21360.00        320.40            21680.40    
17900.00   3580.00         21480.00        322.20            21802.20    
18000.00   3600.00         21600.00        324.00            21924.00    
18100.00   3620.00         21720.00        325.80            22045.80    
18200.00   3640.00         21840.00        327.60            22167.60    
18300.00   3660.00         21960.00        329.40            22289.40    
18400.00   3680.00         22080.00        331.20            22411.20    
18500.00   3700.00         22200.00        333.00            22533.00    
18600.00   3720.00         22320.00        334.80            22654.80    
18700.00   3740.00         22440.00        336.60            22776.60    
18800.00   3760.00         22560.00        338.40            22898.40    
18900.00   3780.00         22680.00        340.20            23020.20    
19000.00   3800.00         22800.00        342.00            23142.00    
19100.00   3820.00         22920.00        343.80            23263.80    
19200.00   3840.00         23040.00        345.60            23385.60    
19300.00   3860.00         23160.00        347.40            23507.40    
19400.00   3880.00         23280.00        349.20            23629.20    
19500.00   3900.00         23400.00        351.00            23751.00    
19600.00   3920.00         23520.00        352.80            23872.80    
19700.00   3940.00         23640.00        354.60            23994.60    
19800.00   3960.00         23760.00        356.40            24116.40    
19900.00   3980.00         23880.00        358.20            24238.20    
20000.00   4000.00         24000.00        360.00            24360.00    
